id,text
01,"A fire has destroyed a chemical storage warehouse on the outskirts of Rotterdam; two workers were injured and nearby residents evacuated."
02,"Shares in a major European reinsurer fell 4% after analysts downgraded the sector on pricing concerns."
03,"A container vessel has run aground off Sri Lanka; salvage tugs are en route and no oil spill has been reported so far."
04,"Union representatives at a German auto plant announced a strike ballot for next month over pay."
05,"Monsoon flooding has submerged industrial estates around Chennai, with several electronics factories reporting water damage."
06,"A new study finds climate change is likely to increase hurricane intensity in the North Atlantic over coming decades."
07,"Authorities in California issued red-flag fire warnings for the weekend as high winds and dry conditions are forecast."
08,"A regional airline cancelled 200 flights after a software fault grounded its booking system for six hours."
09,"Local media report a partial collapse at a copper mine in northern Chile; the operator has not confirmed casualties; a single eyewitness is cited."
10,"The UK government announced a consultation on building-safety regulations following last year's cladding review."
11,"A magnitude 6.8 earthquake struck off the coast of northern Japan; a tsunami advisory was issued and later lifted; damage assessments are under way."
12,"A leading insurtech raised $80M in Series C funding to expand its parametric flood product."
13,"Firefighters contained a blaze at a plastics factory in Ohio after eight hours; the facility's production lines are expected to be offline for months."
14,"A tropical depression formed in the Gulf of Mexico and is forecast to strengthen into a hurricane within 72 hours."
15,"An oil pipeline in Alberta was shut down as a precaution after sensors detected a pressure anomaly; no leak has been confirmed."
16,"Thousands of homes in Queensland remain without power three days after severe storms brought down transmission lines."
17,"A court ordered a chemical company to pay $2.1B in damages over historical groundwater contamination claims."
18,"A cargo plane made an emergency landing in Anchorage after an engine fire warning; the aircraft landed safely with no injuries."
19,"Analysts forecast that cyber insurance premiums will rise 15% next year amid growing ransomware activity."
20,"A ransomware attack has halted production at three food-processing plants owned by a multinational; the company says systems may be down for days."
21,"Heavy snowfall closed several Alpine passes overnight; no incidents were reported and roads reopened by morning."
22,"A five-storey residential building under construction collapsed in Istanbul; rescue teams are searching the rubble and at least four workers are missing."
23,"The national weather service upgraded its seasonal outlook, predicting an above-average Atlantic hurricane season."
24,"A refinery in Louisiana reported a flaring event lasting several hours; the operator described it as routine and regulators were notified."
25,"A historic drought has left reservoir levels in northern Italy at 30% of capacity, prompting irrigation restrictions for farmers."
26,"A ferry carrying 200 passengers lost engine power in the Aegean and was towed to port; no injuries were reported."
27,"Wildfires burning in central Portugal have destroyed at least 40 homes and forced the evacuation of three villages."
28,"A major bank announced it would stop underwriting new coal projects from next year."
29,"Preliminary reports suggest a gas explosion levelled two shops in a Warsaw suburb; emergency services are on scene; the cause is unconfirmed."
30,"A container terminal in Felixstowe suspended operations for a day due to a crane software upgrade that overran."
31,"Hailstorms across northern Texas damaged thousands of vehicles and roofs, with early estimates suggesting one of the costliest hail events in state history."
32,"An academic paper proposes a new machine-learning method for estimating flood exposure from satellite imagery."
33,"A dam in Laos showed cracks after heavy rain and authorities evacuated downstream villages as a precaution; engineers are assessing the structure."
34,"The price of reinsurance cover for Florida wind risk rose sharply at the June renewals, brokers said."
35,"A freight train carrying industrial chemicals derailed in rural Ohio; a small fire is burning and residents within a mile have been evacuated."
36,"A celebrity chef's restaurant group filed for administration citing rising costs."
37,"Two workers were hospitalised after a scaffolding failure at a London construction site; the HSE has opened an investigation."
38,"A software company disclosed that a misconfigured database briefly exposed customer records; it says no misuse has been detected."
39,"Flash floods swept through a market town in Yemen overnight; local sources report several fatalities and dozens of damaged buildings; access remains difficult and details are unverified."
40,"An international sporting body announced new sustainability requirements for host cities bidding for future events."
